model_name;data;symbol;estimator;train_size;start_train_date;start_test_date;numeric_features;regression_times;regression_features;times_regression_profit_and_loss;stop_loss;fold;saldo_inicial;saldo_final;parametros;use-all-data-to-train;no-tune
BNBUSDT_knn_SL_1.0_RT_0_RPL_6_1;2023-09-17 20:18:10;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'open', 'volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];6;1.0;3;100.0;55.769999999999925;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=6', '-numeric-features=close,open,volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_2.0_RT_0_RPL_12_1;2023-09-18 01:32:02;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'open', 'low', 'number_of_trades', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;2.0;3;100.0;55.82999999999996;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=2', '-regression-profit-and-loss=12', '-numeric-features=close,open,low,number_of_trades', '-regression-times=0'];False;True
BNBUSDT_knn_SL_2.0_RT_0_RPL_12_1;2023-09-18 01:34:41;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'high', 'low', 'number_of_trades', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;2.0;3;100.0;57.12999999999998;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=2', '-regression-profit-and-loss=12', '-numeric-features=close,high,low,number_of_trades', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.0_RT_0_RPL_6_1;2023-09-17 20:19:10;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'high', 'volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];6;1.0;3;100.0;58.10000000000001;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=6', '-numeric-features=close,high,volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.0_RT_0_RPL_6_1;2023-09-17 20:19:59;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'low', 'volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];6;1.0;3;100.0;59.45000000000001;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=6', '-numeric-features=close,low,volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.0_RT_0_RPL_6_1;2023-09-17 20:22:38;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'open', 'high', 'volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];6;1.0;3;100.0;59.98;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=6', '-numeric-features=close,open,high,volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.0_RT_0_RPL_6_1;2023-09-17 20:20:59;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'volume', 'taker_buy_base_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];6;1.0;3;100.0;59.99000000000004;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=6', '-numeric-features=close,volume,taker_buy_base_asset_volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_2.0_RT_0_RPL_12_1;2023-09-18 01:31:08;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'open', 'high', 'number_of_trades', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;2.0;3;100.0;60.05;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=2', '-regression-profit-and-loss=12', '-numeric-features=close,open,high,number_of_trades', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.5_RT_0_RPL_12_1;2023-09-17 23:20:30;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'high', 'volume', 'taker_buy_base_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;1.5;3;100.0;60.32000000000003;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=12', '-numeric-features=close,high,volume,taker_buy_base_asset_volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.5_RT_0_RPL_12_1;2023-09-17 23:22:14;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'low', 'volume', 'taker_buy_base_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;1.5;3;100.0;60.50000000000004;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=12', '-numeric-features=close,low,volume,taker_buy_base_asset_volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.5_RT_0_RPL_12_1;2023-09-17 23:17:54;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'open', 'volume', 'taker_buy_base_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;1.5;3;100.0;60.50000000000004;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=12', '-numeric-features=close,open,volume,taker_buy_base_asset_volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.5_RT_0_RPL_6_1;2023-09-17 22:31:11;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'volume', 'taker_buy_base_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];6;1.5;3;100.0;60.80999999999995;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=6', '-numeric-features=close,volume,taker_buy_base_asset_volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.0_RT_0_RPL_6_1;2023-09-17 20:23:27;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'open', 'low', 'volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];6;1.0;3;100.0;60.90999999999996;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=6', '-numeric-features=close,open,low,volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_3.0_RT_0_RPL_12_1;2023-09-18 06:32:13;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'open', 'high', 'low', 'taker_buy_quote_asset_volume', 'number_of_trades', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;3.0;3;100.0;61.61000000000002;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=3', '-regression-profit-and-loss=12', '-numeric-features=close,open,high,low,taker_buy_quote_asset_volume,number_of_trades', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.0_RT_0_RPL_6_1;2023-09-17 20:25:55;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'high', 'low', 'volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];6;1.0;3;100.0;61.85999999999997;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=6', '-numeric-features=close,high,low,volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.5_RT_0_RPL_12_1;2023-09-17 23:33:53;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'high', 'volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;1.5;3;100.0;62.21;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=12', '-numeric-features=close,high,volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.5_RT_0_RPL_12_1;2023-09-17 23:24:18;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;1.5;3;100.0;62.21;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=12', '-numeric-features=close,volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.5_RT_0_RPL_12_1;2023-09-17 23:30:24;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'open', 'volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;1.5;3;100.0;62.21;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=12', '-numeric-features=close,open,volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-times=0'];False;True
BNBUSDT_knn_SL_1.5_RT_0_RPL_12_1;2023-09-17 23:39:59;BNBUSDT;knn;0.7;2017-11-06;2023-06-01 00:00:00;['close', 'open', 'high', 'volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;1.5;3;100.0;62.21;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BNBUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=12', '-numeric-features=close,open,high,volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume', '-regression-times=0'];False;True
