model_name;data;symbol;estimator;train_size;start_train_date;start_test_date;numeric_features;regression_times;regression_features;times_regression_profit_and_loss;stop_loss;fold;saldo_inicial;saldo_final;parametros;use-all-data-to-train;no-tune
TRXUSDT_knn_SL_1.5_RT_0_RPL_24_1;2023-09-15 22:57:49;TRXUSDT;knn;0.7;2018-06-12;;['close', 'volume', 'rsi'];0;['close', 'volume', 'rsi'];24;1.5;3;0.0;0.0;['-train-model', '-calc-rsi', '-normalize', '-numeric-features=close,volume', '-regression-features=close,volume,rsi', '-regression-times=0', '-no-tune', '-stop-loss=1.5', '-regression-profit-and-loss=24', '-symbol=TRXUSDT', '-use-all-data-to-train', '-estimator=knn'];True;True
MATICUSDT_knn_SL_2.5_RT_0_RPL_24_1;2023-09-15 22:58:00;MATICUSDT;knn;0.7;2019-04-27;;['close', 'volume', 'rsi'];0;['close', 'volume', 'rsi'];24;2.5;3;0.0;0.0;['-train-model', '-calc-rsi', '-normalize', '-numeric-features=close,volume', '-regression-features=close,volume,rsi', '-regression-times=0', '-no-tune', '-stop-loss=2.5', '-regression-profit-and-loss=24', '-symbol=MATICUSDT', '-use-all-data-to-train', '-estimator=knn'];True;True
BCHUSDT_knn_SL_1.5_RT_0_RPL_24_1;2023-09-15 22:58:12;BCHUSDT;knn;0.7;2019-11-29;;['close', 'volume', 'rsi'];0;['close', 'volume', 'rsi'];24;1.5;3;0.0;0.0;['-train-model', '-calc-rsi', '-normalize', '-numeric-features=close,volume', '-regression-features=close,volume,rsi', '-regression-times=0', '-no-tune', '-stop-loss=1.5', '-regression-profit-and-loss=24', '-symbol=BCHUSDT', '-use-all-data-to-train', '-estimator=knn'];True;True
AVAXUSDT_knn_SL_2.5_RT_0_RPL_24_1;2023-09-15 22:58:25;AVAXUSDT;knn;0.7;2020-09-22;;['close', 'volume', 'rsi'];0;['close', 'volume', 'rsi'];24;2.5;3;0.0;0.0;['-train-model', '-calc-rsi', '-normalize', '-numeric-features=close,volume', '-regression-features=close,volume,rsi', '-regression-times=0', '-no-tune', '-stop-loss=2.5', '-regression-profit-and-loss=24', '-symbol=AVAXUSDT', '-use-all-data-to-train', '-estimator=knn'];True;True
ETHUSDT_knn_SL_1.0_RT_0_RPL_24_1;2023-09-16 22:23:03;ETHUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'open', 'high', 'taker_buy_quote_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];24;1.0;3;100.0;64.11999999999996;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=ETHUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=24', '-numeric-features=close,open,high,taker_buy_quote_asset_volume', '-regression-times=0'];False;True
ETHUSDT_knn_SL_1.0_RT_0_RPL_24_1;2023-09-16 22:26:34;ETHUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'high', 'low', 'taker_buy_quote_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];24;1.0;3;100.0;64.11999999999996;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=ETHUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=24', '-numeric-features=close,high,low,taker_buy_quote_asset_volume', '-regression-times=0'];False;True
ETHUSDT_knn_SL_1.0_RT_0_RPL_24_1;2023-09-16 22:23:56;ETHUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'open', 'low', 'taker_buy_quote_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];24;1.0;3;100.0;64.11999999999996;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=ETHUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=24', '-numeric-features=close,open,low,taker_buy_quote_asset_volume', '-regression-times=0'];False;True
ETHUSDT_knn_SL_1.0_RT_0_RPL_24_1;2023-09-16 22:19:22;ETHUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'high', 'taker_buy_quote_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];24;1.0;3;100.0;64.65999999999997;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=ETHUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=24', '-numeric-features=close,high,taker_buy_quote_asset_volume', '-regression-times=0'];False;True
ETHUSDT_knn_SL_1.0_RT_0_RPL_24_1;2023-09-16 22:20:15;ETHUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'low', 'taker_buy_quote_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];24;1.0;3;100.0;64.65999999999997;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=ETHUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=24', '-numeric-features=close,low,taker_buy_quote_asset_volume', '-regression-times=0'];False;True
ETHUSDT_knn_SL_1.0_RT_0_RPL_24_1;2023-09-16 22:18:20;ETHUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'open', 'taker_buy_quote_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];24;1.0;3;100.0;64.65999999999997;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=ETHUSDT', '-estimator=knn', '-stop-loss=1', '-regression-profit-and-loss=24', '-numeric-features=close,open,taker_buy_quote_asset_volume', '-regression-times=0'];False;True
