operation_date;symbol;interval;operation;amount_invested;balance;take_profit;stop_loss;purchase_price;sell_price;PnL;rsi;status
1695765031035;LTCUSDT;1h;BUY;100.0;9900.0;62.914499;64.820999;63.549999;0.0;0.0;22.37;CAI
1695765048513;DOTUSDT;1m;BUY;100.0;9800.0;3.96693;4.08714;4.007;0.0;0.0;12.94;CAI
1695765054511;ATOMUSDT;1h;BUY;100.0;9700.0;6.88644;7.09512;6.956;0.0;0.0;31.07;CAI
1695765064798;BTCUSDT;1h;BUY;100.0;9600.0;25918.209668;26703.609961;26180.009766;0.0;0.0;23.77;CAI
1695765132002;ADAUSDT;1m;BUY;100.0;9500.0;0.241956;0.249288;0.2444;0.0;0.0;22.1;CAI
1695765132823;DOGEUSDT;1m;BUY;100.0;9400.0;0.059845;0.061659;0.06045;0.0;0.0;18.64;CAI
1695765246198;SOLUSDT;1m;BUY;100.0;9300.0;18.8298;19.4004;19.02;0.0;0.0;20.24;CAI
1695818248829;ETHUSDT;1h;BUY;100.0;9200.0;1593.519238;1691.081641;1626.040039;0.0;0.0;73.56;CAI
1695818288797;DOGEUSDT;1h;BUY;100.0;9100.0;0.059699;0.064292;0.06123;0.0;0.0;44.75;CAI
1695818292954;DOTUSDT;1h;BUY;100.0;9000.0;4.16765;3.8627;4.066;0.0;0.0;67.66;SOBE
1695818468107;XLMUSDT;1m;BUY;100.00;8900.00;0.114938;0.111524;0.113800;0.000000;0.000000;74.08;SOBE
