data;symbol;interval;estimator;stop_loss;regression_times;times_regression_profit_and_loss;profit_and_loss_value;start_value;final_value;numeric_features;regression_features;train_size;use-all-data-to-train;start_train_date;start_test_date;fold;no-tune;score;model_name;arguments
2023-09-22 18:24:51;BCHUSDT;1h;knn;1.5;0;24;0.0;0.0;0.0;close;;0.7;True;2010-01-01;;3;True;;BCHUSDT_knn_SL_1.5_RT_0_RPL_24_1;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:26:34;BCHUSDT;1h;knn;1.5;0;24;0.0;0.0;0.0;close;;0.7;True;2010-01-01;;3;True;;BCHUSDT_knn_SL_1.5_RT_0_RPL_24_1;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:07;BCHUSDT;1h;knn;1.5;0;12;-63.29;100.0;36.71;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.5=0.43][ESTAVEL=0.39][SOBE_1.5=0.29];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:26;BCHUSDT;1h;knn;2.0;0;12;-62.76;100.0;37.24;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.36][ESTAVEL=0.60][SOBE_2.0=0.18];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:24;BCHUSDT;1h;knn;2.0;0;12;-57.95;100.0;42.05;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.29][ESTAVEL=0.51][SOBE_2.0=0.18];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:14;BCHUSDT;1h;knn;1.5;0;24;-56.5;100.0;43.5;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.5=0.48][ESTAVEL=0.17][SOBE_1.5=0.39];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:23;BCHUSDT;1h;knn;2.0;0;12;-51.23;100.0;48.77;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.31][ESTAVEL=0.61][SOBE_2.0=0.23];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:01;BCHUSDT;1h;knn;1.5;0;6;-49.14;100.0;50.86;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.5=0.30][ESTAVEL=0.69][SOBE_1.5=0.15];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:12;BCHUSDT;1h;knn;1.5;0;24;-48.46;100.0;51.54;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.5=0.48][ESTAVEL=0.11][SOBE_1.5=0.40];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:32;BCHUSDT;1h;knn;2.0;0;24;-44.67;100.0;55.33;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.46][ESTAVEL=0.30][SOBE_2.0=0.34];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:29;BCHUSDT;1h;knn;2.0;0;24;-44.65;100.0;55.35;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.41][ESTAVEL=0.32][SOBE_2.0=0.36];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:10;BCHUSDT;1h;knn;1.5;0;24;-38.96;100.0;61.04;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.5=0.45][ESTAVEL=0.17][SOBE_1.5=0.42];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:12:58;BCHUSDT;1h;knn;1.5;0;6;-34.38;100.0;65.62;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.5=0.26][ESTAVEL=0.71][SOBE_1.5=0.20];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:30;BCHUSDT;1h;knn;2.0;0;24;-33.93;100.0;66.07;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.40][ESTAVEL=0.21][SOBE_2.0=0.33];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:18;BCHUSDT;1h;knn;2.0;0;6;-32.42;100.0;67.58;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.12][ESTAVEL=0.77][SOBE_2.0=0.08];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:00;BCHUSDT;1h;knn;1.5;0;6;-26.72;100.0;73.28;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.5=0.24][ESTAVEL=0.61][SOBE_1.5=0.13];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:27;BCHUSDT;1h;knn;2.0;0;24;-22.9;100.0;77.1;close;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.35][ESTAVEL=0.16][SOBE_2.0=0.33];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:17;BCHUSDT;1h;knn;2.0;0;6;-20.16;100.0;79.84;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.19][ESTAVEL=0.84][SOBE_2.0=0.11];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:13:06;BCHUSDT;1h;knn;1.5;0;12;-17.32;100.0;82.68;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.5=0.41][ESTAVEL=0.30][SOBE_1.5=0.28];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
