data;symbol;interval;estimator;stop_loss;regression_times;times_regression_profit_and_loss;profit_and_loss_value;start_value;final_value;numeric_features;regression_features;train_size;use-all-data-to-train;start_train_date;start_test_date;fold;no-tune;model_name;arguments;score
2023-09-22 18:04:25;BTCUSDT;1h;knn;1.5;0;6;0.0;0.0;0.0;close;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:46;BTCUSDT;1h;knn;1.5;0;24;0.0;0.0;0.0;close,volume,rsi;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:42;BTCUSDT;1h;knn;1.5;0;24;0.0;0.0;0.0;close;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:30;BTCUSDT;1h;knn;1.5;0;6;0.0;0.0;0.0;close,rsi;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:41;BTCUSDT;1h;knn;1.5;0;12;0.0;0.0;0.0;close,volume,rsi;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:45;BTCUSDT;1h;knn;1.5;0;24;0.0;0.0;0.0;close,rsi;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:51;BTCUSDT;1h;knn;2.0;0;6;0.0;0.0;0.0;close,volume,rsi;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:57;BTCUSDT;1h;knn;2.0;0;12;0.0;0.0;0.0;close,volume,rsi;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:47;BTCUSDT;1h;knn;2.0;0;6;0.0;0.0;0.0;close;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:35;BTCUSDT;1h;knn;1.5;0;12;0.0;0.0;0.0;close;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
