data;symbol;interval;estimator;stop_loss;regression_times;times_regression_profit_and_loss;profit_and_loss_value;start_value;final_value;numeric_features;regression_features;train_size;use-all-data-to-train;start_train_date;start_test_date;fold;no-tune;score;model_name;arguments
2023-09-22 18:24:54;DOTUSDT;1h;knn;2.5;0;12;0.0;0.0;0.0;close,taker_buy_quote_asset_volume;;0.7;True;2010-01-01;;3;True;;DOTUSDT_knn_SL_2.5_RT_0_RPL_12_2;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-25 09:42:42;DOTUSDT;1h;knn;2.5;0;12;0.0;0.0;0.0;close,taker_buy_quote_asset_volume;;0.7;True;2010-01-01;;3;True;;DOTUSDT_1h_knn_SL_2.5_RT_0_RPL_12_1;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-26 11:51:14;DOTUSDT;1h;knn;2.5;0;12;0.0;0.0;0.0;close,taker_buy_quote_asset_volume;;0.7;True;2010-01-01;;3;True;;DOTUSDT_1h_knn_SL_2.5_RT_0_RPL_12_1;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 18:26:37;DOTUSDT;1h;knn;2.5;0;12;0.0;0.0;0.0;close,taker_buy_quote_asset_volume;;0.7;True;2010-01-01;;3;True;;DOTUSDT_knn_SL_2.5_RT_0_RPL_12_1;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-25 23:32:33;DOTUSDT;1h;knn;2.5;0;12;0.0;0.0;0.0;close,taker_buy_quote_asset_volume;;0.7;True;2010-01-01;;3;True;;DOTUSDT_1h_knn_SL_2.5_RT_0_RPL_12_1;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 04:42:37;DOTUSDT;1h;knn;1.0;0;6;-51.61;100.0;48.39;close,volume,quote_asset_volume,number_of_trades;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.0=0.41][ESTAVEL=0.25][SOBE_1.0=0.32];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 05:04:54;DOTUSDT;1h;knn;1.0;0;24;-51.38;100.0;48.62;close,low,volume,quote_asset_volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.0=0.43][ESTAVEL=0.01][SOBE_1.0=0.45];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 05:04:26;DOTUSDT;1h;knn;1.0;0;24;-50.71;100.0;49.29;close,high,volume,quote_asset_volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.0=0.43][ESTAVEL=0.01][SOBE_1.0=0.46];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 04:42:45;DOTUSDT;1h;knn;1.0;0;6;-50.48;100.0;49.52;close,volume,taker_buy_quote_asset_volume,number_of_trades;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.0=0.41][ESTAVEL=0.25][SOBE_1.0=0.32];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 05:03:45;DOTUSDT;1h;knn;1.0;0;24;-49.26;100.0;50.74;close,open,volume,quote_asset_volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.0=0.43][ESTAVEL=0.00][SOBE_1.0=0.46];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 05:03:51;DOTUSDT;1h;knn;1.0;0;24;-49.11;100.0;50.89;close,open,volume,taker_buy_quote_asset_volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.0=0.43][ESTAVEL=0.00][SOBE_1.0=0.45];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 04:52:10;DOTUSDT;1h;knn;1.0;0;12;-48.69;100.0;51.31;close,open,volume,quote_asset_volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.0=0.42][ESTAVEL=0.06][SOBE_1.0=0.41];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 04:52:55;DOTUSDT;1h;knn;1.0;0;12;-48.54;100.0;51.46;close,high,volume,taker_buy_quote_asset_volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.0=0.42][ESTAVEL=0.06][SOBE_1.0=0.41];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 05:04:59;DOTUSDT;1h;knn;1.0;0;24;-48.54;100.0;51.46;close,low,volume,taker_buy_quote_asset_volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.0=0.43][ESTAVEL=0.01][SOBE_1.0=0.45];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 05:04:32;DOTUSDT;1h;knn;1.0;0;24;-48.36;100.0;51.64;close,high,volume,taker_buy_quote_asset_volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.0=0.43][ESTAVEL=0.01][SOBE_1.0=0.46];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 08:01:12;DOTUSDT;1h;knn;3.5;0;12;-48.27;100.0;51.73;close,open,quote_asset_volume,number_of_trades;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_3.5=0.09][ESTAVEL=0.65][SOBE_3.5=0.16];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 04:56:24;DOTUSDT;1h;knn;1.0;0;12;-48.07;100.0;51.93;close,high,volume,taker_buy_quote_asset_volume,number_of_trades;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.0=0.42][ESTAVEL=0.06][SOBE_1.0=0.40];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
2023-09-22 08:04:57;DOTUSDT;1h;knn;3.5;0;12;-48.03;100.0;51.97;close,open,quote_asset_volume,taker_buy_quote_asset_volume,number_of_trades;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_3.5=0.08][ESTAVEL=0.66][SOBE_3.5=0.15];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-log-level=INFO', '-no-tune', '-n-jobs=20', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-symbol-list=TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.0,1.5,2.0,2.5,3.0,3.5', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-numeric-features=open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades']
