data;symbol;interval;estimator;stop_loss;regression_times;times_regression_profit_and_loss;profit_and_loss_value;start_value;final_value;numeric_features;regression_features;train_size;use-all-data-to-train;start_train_date;start_test_date;fold;no-tune;score;model_name;arguments
2023-09-22 18:24:19;XRPUSDT;1h;knn;1.5;0;6;0.0;0.0;0.0;close,volume;;0.7;True;2010-01-01;;3;True;;XRPUSDT_knn_SL_1.5_RT_0_RPL_6_1;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:26:03;XRPUSDT;1h;knn;1.5;0;6;0.0;0.0;0.0;close,volume;;0.7;True;2010-01-01;;3;True;;XRPUSDT_knn_SL_1.5_RT_0_RPL_6_1;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:11:39;XRPUSDT;1h;knn;2.0;0;24;-64.17;100.0;35.83;close;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.64][ESTAVEL=0.08][SOBE_2.0=0.24];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:11:38;XRPUSDT;1h;knn;2.0;0;12;-60.4;100.0;39.6;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.42][ESTAVEL=0.38][SOBE_2.0=0.27];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:11:44;XRPUSDT;1h;knn;2.0;0;24;-56.56;100.0;43.44;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.52][ESTAVEL=0.10][SOBE_2.0=0.36];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:11:06;XRPUSDT;1h;knn;1.5;0;6;-50.98;100.0;49.02;close;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.5=0.38][ESTAVEL=0.44][SOBE_1.5=0.18];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:11:33;XRPUSDT;1h;knn;2.0;0;12;-50.34;100.0;49.66;close;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.47][ESTAVEL=0.31][SOBE_2.0=0.19];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:11:28;XRPUSDT;1h;knn;2.0;0;6;-46.89;100.0;53.11;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.20][ESTAVEL=0.66][SOBE_2.0=0.15];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:11:31;XRPUSDT;1h;knn;2.0;0;6;-46.63;100.0;53.37;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_2.0=0.23][ESTAVEL=0.70][SOBE_2.0=0.21];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
2023-09-22 18:11:24;XRPUSDT;1h;knn;1.5;0;24;-42.62;100.0;57.38;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;[CAI_1.5=0.55][ESTAVEL=0.04][SOBE_1.5=0.41];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01']
