et	Extra Trees Classifier	0.8192	0.9347	0.8192	0.8198	0.8192	0.7286	0.7289	1.0700
rf	Random Forest Classifier	0.8015	0.9248	0.8015	0.8027	0.8017	0.7021	0.7024	1.5433
knn	K Neighbors Classifier	0.7771	0.9099	0.7771	0.7785	0.7769	0.6653	0.6661	1.9067
xgboost	Extreme Gradient Boosting	0.7753	0.9067	0.7753	0.7759	0.7755	0.6627	0.6628	119.7400
catboost	CatBoost Classifier	0.7730	0.9035	0.7730	0.7737	0.7731	0.6593	0.6595	133.5633
lightgbm	Light Gradient Boosting Machine	0.7673	0.9028	0.7673	0.7688	0.7676	0.6507	0.6511	649.2233
dt	Decision Tree Classifier	0.6358	0.7268	0.6358	0.6365	0.6359	0.4536	0.4537	5.5733
gbc	Gradient Boosting Classifier	0.6161	0.7956	0.6161	0.6190	0.6167	0.4235	0.4241	307.6200
ada	Ada Boost Classifier	0.4776	0.6737	0.4776	0.4794	0.4775	0.2157	0.2162	19.8733
nb	Naive Bayes	0.4339	0.6099	0.4339	0.4419	0.4026	0.1529	0.1628	0.7800
qda	Quadratic Discriminant Analysis	0.4045	0.5763	0.4045	0.4059	0.3713	0.1083	0.1132	2.6567
lr	Logistic Regression	0.3906	0.5688	0.3906	0.3907	0.3904	0.0858	0.0859	10.8500
ridge	Ridge Classifier	0.3863	0.0000	0.3863	0.3862	0.3860	0.0795	0.0795	0.8233
svm	SVM - Linear Kernel	0.3740	0.0000	0.3740	0.3722	0.3720	0.0592	0.0594	1.7833
lda	Linear Discriminant Analysis	0.3687	0.5349	0.3687	0.3687	0.3685	0.0531	0.0531	2.1833
dummy	Dummy Classifier	0.3437	0.5000	0.3437	0.1182	0.1758	0.0000	0.0000	0.2800
