model_name;data;symbol;estimator;train_size;start_train_date;start_test_date;numeric_features;regression_times;regression_features;times_regression_profit_and_loss;stop_loss;fold;saldo_inicial;saldo_final;parametros;use-all-data-to-train;no-tune
BTCUSDT_knn_SL_1.5_RT_0_RPL_6_1;2023-09-17 00:20:39;BTCUSDT;knn;0.7;2017-08-17;;['close', 'open', 'volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];6;1.5;3;0.0;0.0;['-train-model', '-calc-rsi', '-no-tune', '-use-all-data-to-train', '-fold=3', '-n-jobs=20', '-symbol=BTCUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=6', '-numeric-features=close,open,volume', '-regression-times=0'];True;True
BTCUSDT_knn_SL_3.0_RT_0_RPL_12_1;2023-09-16 23:22:34;BTCUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'open', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'number_of_trades', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;3.0;3;100.0;62.81999999999999;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BTCUSDT', '-estimator=knn', '-stop-loss=3', '-regression-profit-and-loss=12', '-numeric-features=close,open,quote_asset_volume,taker_buy_base_asset_volume,number_of_trades', '-regression-times=0'];False;True
BTCUSDT_knn_SL_3.0_RT_0_RPL_12_1;2023-09-16 23:15:12;BTCUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'high', 'quote_asset_volume', 'number_of_trades', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;3.0;3;100.0;62.81999999999999;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BTCUSDT', '-estimator=knn', '-stop-loss=3', '-regression-profit-and-loss=12', '-numeric-features=close,high,quote_asset_volume,number_of_trades', '-regression-times=0'];False;True
BTCUSDT_knn_SL_3.0_RT_0_RPL_12_1;2023-09-16 23:13:15;BTCUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'open', 'quote_asset_volume', 'number_of_trades', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;3.0;3;100.0;62.81999999999999;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BTCUSDT', '-estimator=knn', '-stop-loss=3', '-regression-profit-and-loss=12', '-numeric-features=close,open,quote_asset_volume,number_of_trades', '-regression-times=0'];False;True
BTCUSDT_knn_SL_3.0_RT_0_RPL_12_1;2023-09-16 23:16:31;BTCUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'low', 'quote_asset_volume', 'number_of_trades', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;3.0;3;100.0;62.81999999999999;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BTCUSDT', '-estimator=knn', '-stop-loss=3', '-regression-profit-and-loss=12', '-numeric-features=close,low,quote_asset_volume,number_of_trades', '-regression-times=0'];False;True
BTCUSDT_knn_SL_3.0_RT_0_RPL_12_1;2023-09-16 23:25:12;BTCUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'high', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'number_of_trades', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];12;3.0;3;100.0;62.81999999999999;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BTCUSDT', '-estimator=knn', '-stop-loss=3', '-regression-profit-and-loss=12', '-numeric-features=close,high,quote_asset_volume,taker_buy_base_asset_volume,number_of_trades', '-regression-times=0'];False;True
BTCUSDT_knn_SL_1.5_RT_0_RPL_24_74;2023-09-16 18:46:00;BTCUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'low', 'volume', 'quote_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];24;1.5;3;100.0;63.1;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BTCUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=24', '-numeric-features=close,low,volume,quote_asset_volume', '-regression-times=0'];False;True
BTCUSDT_knn_SL_1.5_RT_0_RPL_24_78;2023-09-16 18:46:35;BTCUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'low', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];24;1.5;3;100.0;63.1;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BTCUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=24', '-numeric-features=close,low,quote_asset_volume,taker_buy_base_asset_volume', '-regression-times=0'];False;True
BTCUSDT_knn_SL_1.5_RT_0_RPL_24_149;2023-09-16 18:56:59;BTCUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'low', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];24;1.5;3;100.0;63.1;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BTCUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=24', '-numeric-features=close,low,volume,quote_asset_volume,taker_buy_base_asset_volume', '-regression-times=0'];False;True
BTCUSDT_knn_SL_1.5_RT_0_RPL_24_119;2023-09-16 18:52:36;BTCUSDT;knn;0.7;2017-08-17;2023-06-01 00:00:00;['close', 'open', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'rsi'];0;['open', 'high', 'low', 'volume', 'close'];24;1.5;3;100.0;63.1;['-train-model', '-calc-rsi', '-no-tune', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01', '-fold=3', '-n-jobs=20', '-symbol=BTCUSDT', '-estimator=knn', '-stop-loss=1.5', '-regression-profit-and-loss=24', '-numeric-features=close,open,volume,quote_asset_volume,taker_buy_base_asset_volume', '-regression-times=0'];False;True
